iter	Passed	Remaining
444	1208	1507
445	1211	1505
446	1214	1502
447	1216	1498
448	1219	1496
449	1221	1492
450	1224	1490
451	1227	1488
452	1229	1484
453	1231	1481
454	1234	1478
455	1236	1474
456	1238	1471
457	1241	1468
458	1245	1467
459	1247	1464
460	1250	1461
461	1252	1458
462	1254	1455
463	1258	1453
464	1261	1450
465	1263	1447
466	1265	1443
467	1267	1440
468	1269	1437
469	1272	1434
470	1275	1432
471	1277	1428
472	1279	1425
473	1281	1422
474	1283	1418
475	1287	1417
476	1290	1415
477	1293	1412
478	1295	1409
479	1297	1406
480	1300	1403
481	1303	1400
482	1305	1397
483	1307	1393
484	1309	1390
485	1313	1388
486	1316	1386
487	1318	1383
488	1320	1380
489	1323	1377
490	1325	1374
491	1328	1371
492	1330	1368
493	1333	1366
494	1335	1362
495	1337	1359
496	1339	1355
497	1341	1352
498	1344	1350
499	1347	1347
500	1349	1344
501	1351	1341
502	1354	1337
503	1356	1334
504	1359	1332
505	1361	1329
506	1363	1326
507	1365	1322
508	1368	1319
509	1370	1316
510	1377	1318
511	1380	1315
512	1382	1312
513	1384	1309
514	1387	1306
515	1391	1304
516	1393	1301
517	1396	1299
518	1398	1296
519	1400	1292
520	1402	1289
521	1406	1287
522	1408	1284
523	1410	1281
524	1412	1278
525	1415	1275
526	1417	1272
527	1419	1269
528	1422	1266
529	1424	1263
530	1426	1260
531	1428	1256
532	1430	1253
533	1434	1251
534	1435	1248
535	1437	1244
536	1439	1241
537	1441	1238
538	1443	1234
539	1446	1231
540	1449	1229
541	1452	1227
542	1454	1224
543	1456	1221
544	1459	1218
545	1461	1214
546	1463	1212
547	1466	1209
548	1468	1206
549	1470	1202
550	1472	1199
551	1473	1196
552	1476	1193
553	1479	1190
554	1481	1187
555	1482	1184
556	1484	1180
557	1486	1177
558	1488	1174
559	1490	1171
560	1493	1168
561	1495	1165
562	1497	1161
563	1498	1158
564	1500	1155
565	1502	1152
566	1504	1149
567	1507	1146
568	1510	1143
569	1512	1140
570	1514	1137
571	1516	1134
572	1518	1131
573	1520	1128
574	1522	1125
575	1525	1122
576	1527	1119
577	1529	1116
578	1531	1113
579	1533	1110
580	1535	1107
581	1537	1104
582	1539	1101
583	1541	1098
584	1543	1095
585	1545	1091
586	1547	1088
587	1549	1085
588	1551	1082
589	1554	1080
590	1557	1077
591	1559	1074
592	1561	1071
593	1563	1068
594	1565	1065
595	1568	1063
596	1570	1060
597	1572	1057
598	1574	1054
599	1576	1051
600	1578	1048
601	1580	1045
602	1584	1042
603	1586	1039
604	1588	1036
605	1590	1033
606	1592	1030
607	1593	1027
608	1595	1024
609	1598	1022
610	1601	1019
611	1603	1016
612	1604	1013
613	1606	1010
614	1608	1007
615	1611	1004
616	1613	1001
617	1615	998
618	1617	995
619	1619	992
620	1621	989
621	1623	986
622	1626	984
623	1628	981
624	1630	978
625	1631	974
626	1633	971
627	1635	969
628	1637	966
629	1640	963
630	1644	961
631	1646	958
632	1648	955
633	1650	952
634	1652	949
635	1654	946
636	1656	944
637	1658	941
638	1660	938
639	1662	935
640	1664	932
641	1666	929
642	1668	926
643	1671	924
644	1673	921
645	1676	918
646	1678	915
647	1680	912
648	1682	910
649	1684	907
650	1687	904
651	1689	901
652	1691	898
653	1693	895
654	1695	893
655	1697	890
656	1699	887
657	1702	884
658	1704	881
659	1706	878
660	1708	875
661	1709	872
662	1711	870
663	1714	867
664	1730	871
665	1733	869
666	1736	866
667	1737	863
668	1739	860
669	1741	857
670	1743	854
671	1745	852
672	1748	849
673	1750	846
674	1752	843
675	1754	840
676	1755	837
677	1758	834
678	1760	832
679	1763	829
680	1765	826
681	1767	823
682	1769	821
683	1770	818
684	1772	815
685	1774	812
686	1777	810
687	1780	807
688	1782	804
689	1784	801
690	1786	798
691	1788	796
692	1791	793
693	1793	790
694	1795	787
695	1796	784
696	1798	781
697	1800	779
698	1802	776
699	1805	773
700	1807	770
701	1809	768
702	1810	765
703	1812	762
704	1814	759
705	1816	756
706	1818	753
707	1820	750
708	1824	748
709	1826	745
710	1827	742
711	1829	740
712	1831	737
713	1833	734
714	1837	732
715	1839	729
716	1841	726
717	1842	723
718	1844	720
719	1846	718
720	1848	715
721	1851	712
722	1853	709
723	1855	707
724	1856	704
725	1858	701
726	1860	698
727	1862	696
728	1865	693
729	1868	691
730	1870	688
731	1872	685
732	1873	682
733	1875	679
734	1876	676
735	1882	675
736	1884	672
737	1886	669
738	1887	666
739	1889	663
740	1891	661
741	1892	658
742	1894	655
743	1896	652
744	1897	649
745	1899	646
746	1901	644
747	1904	641
748	1906	638
749	1908	636
750	1909	633
751	1911	630
752	1913	627
753	1915	624
754	1917	622
755	1919	619
756	1921	616
757	1923	614
758	1924	611
759	1926	608
760	1928	605
761	1930	602
762	1932	600
763	1933	597
764	1935	594
765	1937	591
766	1938	589
767	1940	586
768	1942	583
769	1944	580
770	1946	578
771	1949	575
772	1951	572
773	1952	570
774	1954	567
775	1956	564
776	1957	561
777	1959	558
778	1961	556
779	1963	553
780	1965	551
781	1966	548
782	1968	545
783	1970	542
784	1971	539
785	1973	537
786	1974	534
787	1977	531
788	1978	529
789	1980	526
790	1981	523
791	1983	520
792	1984	518
793	1986	515
794	1988	512
795	1990	510
796	1993	507
797	1995	505
798	1996	502
799	1998	499
800	1999	496
801	2001	494
802	2003	491
803	2005	488
804	2007	486
805	2009	483
806	2010	480
807	2012	478
808	2014	475
809	2015	472
810	2017	470
811	2019	467
812	2021	464
813	2022	462
814	2024	459
815	2026	456
816	2027	454
817	2029	451
818	2030	448
819	2032	446
820	2034	443
821	2037	441
822	2039	438
823	2040	435
824	2042	433
825	2043	430
826	2045	427
827	2047	425
828	2049	422
829	2051	420
830	2053	417
831	2055	415
832	2057	412
833	2058	409
834	2060	407
835	2062	404
836	2064	401
837	2065	399
838	2067	396
839	2068	394
840	2070	391
841	2071	388
842	2073	386
843	2074	383
844	2076	380
845	2077	378
846	2081	375
847	2082	373
848	2084	370
849	2085	368
850	2087	365
851	2088	362
852	2090	360
853	2091	357
854	2093	355
855	2096	352
856	2097	350
857	2099	347
858	2100	344
859	2102	342
860	2103	339
861	2105	337
862	2107	334
863	2109	332
864	2111	329
865	2112	326
866	2113	324
867	2115	321
868	2117	319
869	2118	316
870	2120	314
871	2121	311
872	2123	308
873	2126	306
874	2128	304
875	2129	301
876	2131	298
877	2132	296
878	2134	293
879	2135	291
880	2137	288
881	2139	286
882	2141	283
883	2142	281
884	2144	278
885	2145	276
886	2147	273
887	2148	270
888	2150	268
889	2152	265
890	2154	263
891	2156	261
892	2158	258
893	2159	256
894	2161	253
895	2162	251
896	2164	248
897	2166	246
898	2171	243
899	2172	241
900	2174	238
901	2176	236
902	2177	233
903	2179	231
904	2180	228
905	2182	226
906	2185	224
907	2186	221
908	2188	219
909	2189	216
910	2191	214
911	2192	211
912	2194	209
913	2196	206
914	2197	204
915	2199	201
916	2201	199
917	2202	196
918	2204	194
919	2205	191
920	2207	189
921	2209	186
922	2210	184
923	2212	181
924	2214	179
925	2217	177
926	2218	174
927	2220	172
928	2221	169
929	2223	167
930	2225	164
931	2227	162
932	2229	160
933	2231	157
934	2232	155
935	2234	152
936	2236	150
937	2238	147
938	2239	145
939	2241	143
940	2244	140
941	2245	138
942	2247	135
943	2249	133
944	2251	131
945	2252	128
946	2254	126
947	2256	123
948	2260	121
949	2262	119
950	2264	116
951	2266	114
952	2267	111
953	2269	109
954	2273	107
955	2275	104
956	2276	102
957	2278	99
958	2279	97
959	2281	95
960	2282	92
961	2284	90
962	2286	87
963	2288	85
964	2290	83
965	2292	80
966	2293	78
967	2295	75
968	2296	73
969	2298	71
970	2300	68
971	2302	66
972	2305	63
973	2307	61
974	2308	59
975	2310	56
976	2312	54
977	2314	52
978	2316	49
979	2319	47
980	2321	44
981	2322	42
982	2324	40
983	2326	37
984	2327	35
985	2329	33
986	2332	30
987	2334	28
988	2335	25
989	2337	23
990	2339	21
991	2341	18
992	2343	16
993	2344	14
994	2347	11
995	2350	9
996	2352	7
997	2353	4
998	2355	2
999	2357	0
